epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8019,1.09867,3.78919,1.32476,0.54193,0.44394,0.46634,0.37872,0.82836,2.25239,1.11522,0.000132153,0.000132153,0.000132153
2,156.024,1.13699,2.47952,1.32259,0.76543,0.70465,0.77553,0.62945,0.76896,1.26927,1.09616,0.000262858,0.000262858,0.000262858
3,226.699,1.10154,1.91216,1.28764,0.7607,0.77916,0.8169,0.64,0.84116,1.12086,1.10175,0.000390923,0.000390923,0.000390923
4,297.659,1.07947,1.74164,1.27213,0.83001,0.75926,0.83478,0.64689,0.89121,1.06029,1.13078,0.00038812,0.00038812,0.00038812
5,368.881,1.04539,1.57116,1.24302,0.80713,0.77518,0.85259,0.6899,0.74388,0.94112,1.0619,0.00038416,0.00038416,0.00038416
6,441.326,1.03362,1.49129,1.23671,0.84801,0.82877,0.87835,0.71978,0.72329,0.85449,1.04643,0.0003802,0.0003802,0.0003802
7,511.943,1.00683,1.35357,1.22384,0.88303,0.81172,0.89216,0.73949,0.71983,0.78269,1.05568,0.00037624,0.00037624,0.00037624
8,582.715,0.98604,1.26929,1.19934,0.87381,0.83075,0.89654,0.74358,0.67499,0.77556,1.02705,0.00037228,0.00037228,0.00037228
9,653.14,0.9726,1.21233,1.18949,0.85445,0.83465,0.89067,0.74436,0.69068,0.76531,1.01086,0.00036832,0.00036832,0.00036832
10,723.926,0.9373,1.16231,1.17649,0.91174,0.86634,0.92084,0.77206,0.66011,0.65525,1.00215,0.00036436,0.00036436,0.00036436
11,793.854,0.92369,1.10264,1.16589,0.90711,0.8674,0.91467,0.7578,0.6967,0.68718,1.01923,0.0003604,0.0003604,0.0003604
12,864.192,0.92479,1.05899,1.1633,0.91921,0.84373,0.91862,0.7725,0.6758,0.67508,1.02299,0.00035644,0.00035644,0.00035644
13,935.383,0.91949,1.03267,1.16444,0.91249,0.86851,0.92553,0.78357,0.64766,0.63133,0.98706,0.00035248,0.00035248,0.00035248
14,1007.76,0.9,0.98909,1.14185,0.90511,0.86412,0.92854,0.77533,0.6792,0.62966,1.00786,0.00034852,0.00034852,0.00034852
15,1078.84,0.8849,0.96998,1.14238,0.90125,0.89655,0.93106,0.77434,0.6889,0.60383,1.00484,0.00034456,0.00034456,0.00034456
